year,geo,occ,wage_rate
2015,Newfoundland and Labrador,Professional occupations in health (except nursing) [31],1485.23
2016,Newfoundland and Labrador,Professional occupations in health (except nursing) [31],1486.71
2017,Newfoundland and Labrador,Professional occupations in health (except nursing) [31],1529.67
2018,Newfoundland and Labrador,Professional occupations in health (except nursing) [31],1476.43
1997,Newfoundland and Labrador,Technical occupations in health [32],457.17
1998,Newfoundland and Labrador,Technical occupations in health [32],489.33
1999,Newfoundland and Labrador,Technical occupations in health [32],493.18
2000,Newfoundland and Labrador,Technical occupations in health [32],499.48
2001,Newfoundland and Labrador,Technical occupations in health [32],559.93
2002,Newfoundland and Labrador,Technical occupations in health [32],567.34
2003,Newfoundland and Labrador,Technical occupations in health [32],639.35
2004,Newfoundland and Labrador,Technical occupations in health [32],662.32
2005,Newfoundland and Labrador,Technical occupations in health [32],677.41
2006,Newfoundland and Labrador,Technical occupations in health [32],719.11
2007,Newfoundland and Labrador,Technical occupations in health [32],711.86
2008,Newfoundland and Labrador,Technical occupations in health [32],744.55
2009,Newfoundland and Labrador,Technical occupations in health [32],758.87
2010,Newfoundland and Labrador,Technical occupations in health [32],833.46
2011,Newfoundland and Labrador,Technical occupations in health [32],914.98
2012,Newfoundland and Labrador,Technical occupations in health [32],939.91
2013,Newfoundland and Labrador,Technical occupations in health [32],882.57
2014,Newfoundland and Labrador,Technical occupations in health [32],907.72
2015,Newfoundland and Labrador,Technical occupations in health [32],953.62
2016,Newfoundland and Labrador,Technical occupations in health [32],1001.75
2017,Newfoundland and Labrador,Technical occupations in health [32],1029.88
2018,Newfoundland and Labrador,Technical occupations in health [32],958.84
1997,Newfoundland and Labrador,Assisting occupations in support of health services [34],259.01
1998,Newfoundland and Labrador,Assisting occupations in support of health services [34],430.88
1999,Newfoundland and Labrador,Assisting occupations in support of health services [34],276.87
2000,Newfoundland and Labrador,Assisting occupations in support of health services [34],253.51
2001,Newfoundland and Labrador,Assisting occupations in support of health services [34],310.35
2002,Newfoundland and Labrador,Assisting occupations in support of health services [34],292.86
2003,Newfoundland and Labrador,Assisting occupations in support of health services [34],362.89
2004,Newfoundland and Labrador,Assisting occupations in support of health services [34],327.79
2005,Newfoundland and Labrador,Assisting occupations in support of health services [34],388.31
2006,Newfoundland and Labrador,Assisting occupations in support of health services [34],364.4
2007,Newfoundland and Labrador,Assisting occupations in support of health services [34],449.84
2008,Newfoundland and Labrador,Assisting occupations in support of health services [34],440.33
2009,Newfoundland and Labrador,Assisting occupations in support of health services [34],483.32
2010,Newfoundland and Labrador,Assisting occupations in support of health services [34],530.11
2011,Newfoundland and Labrador,Assisting occupations in support of health services [34],486.94
2012,Newfoundland and Labrador,Assisting occupations in support of health services [34],582.42
2013,Newfoundland and Labrador,Assisting occupations in support of health services [34],579.87
2014,Newfoundland and Labrador,Assisting occupations in support of health services [34],607.71
2015,Newfoundland and Labrador,Assisting occupations in support of health services [34],633.94
2016,Newfoundland and Labrador,Assisting occupations in support of health services [34],634.87
2017,Newfoundland and Labrador,Assisting occupations in support of health services [34],697.05
2018,Newfoundland and Labrador,Assisting occupations in support of health services [34],692.37
1997,Newfoundland and Labrador,"Occupations in education, law and social, community and government services [4]",551.05
1998,Newfoundland and Labrador,"Occupations in education, law and social, community and government services [4]",546.6
1999,Newfoundland and Labrador,"Occupations in education, law and social, community and government services [4]",570.34
2000,Newfoundland and Labrador,"Occupations in education, law and social, community and government services [4]",607.35
2001,Newfoundland and Labrador,"Occupations in education, law and social, community and government services [4]",615.77
2002,Newfoundland and Labrador,"Occupations in education, law and social, community and government services [4]",643.28
2003,Newfoundland and Labrador,"Occupations in education, law and social, community and government services [4]",693.5
2004,Newfoundland and Labrador,"Occupations in education, law and social, community and government services [4]",705.55
2005,Newfoundland and Labrador,"Occupations in education, law and social, community and government services [4]",738.77
2006,Newfoundland and Labrador,"Occupations in education, law and social, community and government services [4]",725.14
2007,Newfoundland and Labrador,"Occupations in education, law and social, community and government services [4]",689.28
2008,Newfoundland and Labrador,"Occupations in education, law and social, community and government services [4]",791.24
2009,Newfoundland and Labrador,"Occupations in education, law and social, community and government services [4]",781.93
2010,Newfoundland and Labrador,"Occupations in education, law and social, community and government services [4]",855.05
2011,Newfoundland and Labrador,"Occupations in education, law and social, community and government services [4]",887.96
2012,Newfoundland and Labrador,"Occupations in education, law and social, community and government services [4]",971.54
2013,Newfoundland and Labrador,"Occupations in education, law and social, community and government services [4]",929.64
2014,Newfoundland and Labrador,"Occupations in education, law and social, community and government services [4]",993.39
2015,Newfoundland and Labrador,"Occupations in education, law and social, community and government services [4]",927.95
2016,Newfoundland and Labrador,"Occupations in education, law and social, community and government services [4]",990.8
2017,Newfoundland and Labrador,"Occupations in education, law and social, community and government services [4]",1040.21
2018,Newfoundland and Labrador,"Occupations in education, law and social, community and government services [4]",1070.49
1997,Newfoundland and Labrador,Professional occupations in education services [40],732.19
1998,Newfoundland and Labrador,Professional occupations in education services [40],715.44
1999,Newfoundland and Labrador,Professional occupations in education services [40],746.91
2000,Newfoundland and Labrador,Professional occupations in education services [40],783.34
2001,Newfoundland and Labrador,Professional occupations in education services [40],762.06
2002,Newfoundland and Labrador,Professional occupations in education services [40],799.99
2003,Newfoundland and Labrador,Professional occupations in education services [40],870.36
2004,Newfoundland and Labrador,Professional occupations in education services [40],920.35
2005,Newfoundland and Labrador,Professional occupations in education services [40],949.29
2006,Newfoundland and Labrador,Professional occupations in education services [40],958.17
2007,Newfoundland and Labrador,Professional occupations in education services [40],909.4
2008,Newfoundland and Labrador,Professional occupations in education services [40],1033.68
